_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station_0
117509,950000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,23.0,114.0,50.583333333333336,3.23,1.29065980562649,103.832608331993,Tiong Bahru MRT,0.76
117508,978000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,14.0,117.0,50.666666666666664,3.23,1.29065980562649,103.832608331993,Tiong Bahru MRT,0.76
117507,708888.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,2.0,117.0,54.166666666666664,5.85,1.27573843980494,103.80918938464,Telok Blangah MRT,0.56
117506,895000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,26.0,123.0,53.0,5.78,1.27234669758392,103.810554542558,Telok Blangah MRT,0.2
117505,750000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,11.0,120.0,53.0,5.78,1.27234669758392,103.810554542558,Telok Blangah MRT,0.2
117504,725888.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,14.0,118.0,54.666666666666664,5.83,1.27413297268021,103.809632649822,Telok Blangah MRT,0.38
117503,988000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,20.0,115.0,82.08333333333333,5.0,1.2879638071767,103.816243088714,Redhill MRT,0.19
117502,855000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,14.0,126.0,73.0,4.64,1.28742210332915,103.81943492781,Redhill MRT,0.39
117501,895000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,29.0,110.0,79.0,3.77,1.28115558487763,103.827266559741,Tiong Bahru MRT,0.55
117500,978000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,26.0,110.0,78.91666666666667,3.7,1.2819459836123,103.827911093868,Tiong Bahru MRT,0.46
117499,980000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,14.0,115.0,77.33333333333333,3.63,1.28270270194687,103.828491163221,Tiong Bahru MRT,0.39
117498,985000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,8.0,110.0,85.0,4.03,1.28290865549123,103.824868037687,Tiong Bahru MRT,0.45
117497,795000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,2.0,121.0,73.25,3.86,1.27907853356834,103.826785281335,Tiong Bahru MRT,0.78
117496,1143000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,29.0,114.0,89.41666666666667,3.61,1.2893366539636,103.828920345451,Tiong Bahru MRT,0.39
117495,1058888.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,14.0,132.0,72.83333333333333,4.14,1.2850573150069,103.82381200726,Tiong Bahru MRT,0.42
117494,1120000.0,2022,12,2022-12-01,Central,Bukit Merah,5.0,17.0,115.0,81.91666666666667,3.18,1.28667370705366,103.832481682655,Tiong Bahru MRT,0.56
117493,870000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,14.0,93.0,95.08333333333333,6.06,1.27532809461587,103.807323119129,Telok Blangah MRT,0.58
117492,900000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,14.0,93.0,95.08333333333333,6.07,1.27728367741324,103.806916176715,Labrador Park MRT,0.73
117491,885000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,8.0,93.0,95.0,6.07,1.27728367741324,103.806916176715,Labrador Park MRT,0.73
117490,925000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,23.0,93.0,95.08333333333333,6.07,1.27728367741324,103.806916176715,Labrador Park MRT,0.73
117489,910000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,23.0,93.0,89.83333333333333,6.11,1.27349435644809,103.807229362471,Telok Blangah MRT,0.42
117488,420000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,2.0,91.0,52.916666666666664,5.38,1.2753534329115,103.813588303131,Telok Blangah MRT,0.67
117487,600000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,11.0,98.0,54.75,5.8,1.27309040956353,103.810143564301,Telok Blangah MRT,0.27
117486,550000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,2.0,101.0,78.16666666666667,4.44,1.27776786253278,103.821702419401,HarbourFront MRT,1.37
117485,628000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,8.0,84.0,62.916666666666664,5.31,1.28884723459282,103.813450564855,Redhill MRT,0.38
117484,565000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,11.0,84.0,62.916666666666664,5.43,1.28761342640189,103.812272115642,Redhill MRT,0.55
117483,768000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,17.0,90.0,78.08333333333333,5.11,1.28907506834277,103.815318433481,Redhill MRT,0.17
117482,710000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,2.0,93.0,89.25,3.51,1.28196243466081,103.829559141133,Tiong Bahru MRT,0.51
117481,750000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,5.0,90.0,77.25,3.66,1.28265068056025,103.828178493453,Tiong Bahru MRT,0.39
117480,653888.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,2.0,102.0,75.33333333333333,5.83,1.28850155447192,103.808776830683,Queenstown MRT,0.73
117479,673000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,11.0,107.0,73.16666666666667,3.83,1.27860068677354,103.82708537661,Tiong Bahru MRT,0.83
117478,485000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,8.0,74.0,46.666666666666664,4.43,1.29071799751539,103.821625207737,Redhill MRT,0.56
117477,879000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,11.0,89.0,89.5,3.67,1.29013858517146,103.828453293371,Tiong Bahru MRT,0.46
117476,880000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,5.0,94.0,89.5,3.57,1.28930893190551,103.829233342268,Tiong Bahru MRT,0.41
117475,896000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,23.0,90.0,79.16666666666667,2.72,1.2738835418848,103.839003328569,Outram Park MRT,0.65
117474,785000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,8.0,90.0,79.25,2.6,1.27391992612498,103.840260930929,Outram Park MRT,0.65
117473,690000.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,11.0,106.0,61.333333333333336,3.93,1.27535201369639,103.826950180582,Keppel MRT,0.71
117472,775777.0,2022,12,2022-12-01,Central,Bukit Merah,4.0,8.0,108.0,72.83333333333333,4.25,1.28488704625843,103.82278181902,Tiong Bahru MRT,0.54
117471,722000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,23.0,68.0,95.08333333333333,6.06,1.27532809461587,103.807323119129,Telok Blangah MRT,0.58
117470,730000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,26.0,68.0,95.08333333333333,6.02,1.27653169514471,103.807514165495,Telok Blangah MRT,0.69
