_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station0
152378,398000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,68.0,62.25,8.47,1.33433432226397,103.917712559288,Bedok North MRT,0.05
152379,386000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,67.0,61.25,7.44,1.32987028916159,103.909220387915,Kaki Bukit MRT,0.57
152380,362000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,59.0,51.75,10.23,1.32038884581716,103.945093904498,Tanah Merah MRT,0.76
152381,383000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,73.0,53.083333333333336,9.12,1.3228317365472,103.932852166088,Bedok Reservoir MRT,1.52
152382,423000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,73.0,53.0,9.14,1.32329861671383,103.932762614007,Bedok Reservoir MRT,1.47
152383,365000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,73.0,54.0,9.74,1.32283703302242,103.939124525951,Tanah Merah MRT,0.94
152384,380000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,67.0,54.416666666666664,9.73,1.32139766306096,103.93973036061,Bayshore MRT,0.96
152385,350000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,73.0,51.75,9.2,1.32062504871279,103.934734222428,Bayshore MRT,1.18
152386,378000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,65.0,49.75,8.42,1.32371728387748,103.92500108451,Kembangan MRT,1.37
152387,505000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,68.0,92.58333333333333,8.5,1.3268704456533,103.923848194061,Bedok North MRT,1.09
152388,320000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,65.0,48.166666666666664,8.3,1.32577850604228,103.922424710131,Bedok North MRT,1.11
152389,352000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,68.0,57.083333333333336,8.42,1.32947840879761,103.921105111921,Bedok North MRT,0.68
152390,345000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,68.0,57.083333333333336,8.42,1.32947840879761,103.921105111921,Bedok North MRT,0.68
152391,380000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,68.0,56.083333333333336,8.67,1.32861957588571,103.924497070108,Bedok North MRT,0.99
152392,378000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,67.0,61.166666666666664,8.75,1.32797877350561,103.925804792632,Bedok North MRT,1.15
152393,355888.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,65.0,53.083333333333336,9.38,1.32370531661721,103.934992763383,Tanah Merah MRT,1.32
152394,355000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,76.0,53.083333333333336,9.51,1.32352678658792,103.936423904386,Tanah Merah MRT,1.18
152395,530000.0,2023,5,2023-05-01,East,Bedok,4.0,8.0,92.0,56.0,9.44,1.32852320209845,103.932856033158,Bedok Reservoir MRT,0.9
152396,460000.0,2023,5,2023-05-01,East,Bedok,4.0,8.0,91.0,53.25,10.08,1.3332985212474,103.936601473643,Bedok Reservoir MRT,0.61
152397,480000.0,2023,5,2023-05-01,East,Bedok,4.0,5.0,92.0,54.75,9.02,1.32953994162628,103.9276500842,Bedok Reservoir MRT,0.93
152398,460000.0,2023,5,2023-05-01,East,Bedok,4.0,2.0,92.0,54.75,9.08,1.32868929343533,103.928893754255,Bedok Reservoir MRT,0.95
152399,538000.0,2023,5,2023-05-01,East,Bedok,4.0,11.0,92.0,54.75,9.08,1.32868929343533,103.928893754255,Bedok Reservoir MRT,0.95
152400,445000.0,2023,5,2023-05-01,East,Bedok,4.0,5.0,91.0,54.166666666666664,10.14,1.32726007220341,103.940848770214,Tanah Merah MRT,0.61
152401,465000.0,2023,5,2023-05-01,East,Bedok,4.0,8.0,91.0,53.25,10.01,1.33274009226511,103.936223519694,Bedok Reservoir MRT,0.62
152402,670000.0,2023,5,2023-05-01,East,Bedok,4.0,11.0,85.0,81.58333333333333,10.19,1.32643686024316,103.941850926144,Tanah Merah MRT,0.51
152403,468888.0,2023,5,2023-05-01,East,Bedok,4.0,11.0,92.0,53.916666666666664,10.09,1.33018552011132,103.938716613648,Tanah Merah MRT,0.91
152404,475000.0,2023,5,2023-05-01,East,Bedok,4.0,11.0,93.0,61.416666666666664,8.66,1.33066590908483,103.922843972485,Bedok North MRT,0.7
152405,460000.0,2023,5,2023-05-01,East,Bedok,4.0,5.0,92.0,55.25,9.5,1.33460113941761,103.929445271638,Bedok Reservoir MRT,0.38
152406,433000.0,2023,5,2023-05-01,East,Bedok,4.0,2.0,92.0,55.75,8.97,1.33358016248275,103.92421866691,Bedok North MRT,0.71
152407,818000.0,2023,5,2023-05-01,East,Bedok,4.0,17.0,93.0,94.66666666666667,10.28,1.33087094745916,103.940210775064,Tanah Merah MRT,0.8
152408,800000.0,2023,5,2023-05-01,East,Bedok,4.0,14.0,93.0,94.66666666666667,10.28,1.33087094745916,103.940210775064,Tanah Merah MRT,0.8
152409,730000.0,2023,5,2023-05-01,East,Bedok,4.0,5.0,93.0,94.66666666666667,10.23,1.32991427421905,103.940310513079,Tanah Merah MRT,0.74
152410,868000.0,2023,5,2023-05-01,East,Bedok,4.0,17.0,93.0,94.58333333333333,10.46,1.33196249675669,103.941467643694,Tanah Merah MRT,0.76
152411,777500.0,2023,5,2023-05-01,East,Bedok,4.0,11.0,93.0,94.66666666666667,10.23,1.3304987981324,103.939995686405,Tanah Merah MRT,0.8
152412,830000.0,2023,5,2023-05-01,East,Bedok,4.0,5.0,93.0,94.58333333333333,10.46,1.33196249675669,103.941467643694,Tanah Merah MRT,0.76
152413,760000.0,2023,5,2023-05-01,East,Bedok,4.0,8.0,93.0,94.58333333333333,10.29,1.33003736213542,103.940842245677,Tanah Merah MRT,0.69
152414,770000.0,2023,5,2023-05-01,East,Bedok,4.0,8.0,93.0,94.58333333333333,10.23,1.3304987981324,103.939995686405,Tanah Merah MRT,0.8
152415,775000.0,2023,5,2023-05-01,East,Bedok,4.0,14.0,93.0,94.58333333333333,10.23,1.3304987981324,103.939995686405,Tanah Merah MRT,0.8
152416,780000.0,2023,5,2023-05-01,East,Bedok,4.0,17.0,93.0,94.58333333333333,10.23,1.32991427421905,103.940310513079,Tanah Merah MRT,0.74
152417,465000.0,2023,5,2023-05-01,East,Bedok,4.0,2.0,92.0,56.916666666666664,8.31,1.33436836445678,103.915682191976,Bedok North MRT,0.26
