_id,resale_price,year,month,year_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,address,dist_to_marina_bay,latitude,longitude,postal_code,nearest_station_0,dist_to_station_0
169241,950000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,23.0,135.0,57.333333333333336,"259, Ang Mo Kio Avenue 2",9.96,1.36858148248531,103.831557777899,560259,Mayflower MRT,0.64
169242,748888.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,14.0,119.0,54.083333333333336,"430, Ang Mo Kio Avenue 3",9.5,1.36899287777802,103.85276134968,560430,Ang Mo Kio MRT,0.37
169243,645000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,5.0,132.0,68.33333333333333,"609, Ang Mo Kio Avenue 4",10.89,1.37925113811966,103.838031514738,560609,Lentor MRT,0.74
169244,1050000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,26.0,110.0,78.66666666666667,"700B, Ang Mo Kio Avenue 6",9.65,1.36941049476136,103.846059825406,562700,Ang Mo Kio MRT,0.39
169245,1145000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,26.0,113.0,93.58333333333333,"260B, Ang Mo Kio Street 21",9.91,1.36886409962902,103.83395420063,562260,Mayflower MRT,0.41
169246,1080000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,8.0,113.0,93.58333333333333,"260B, Ang Mo Kio Street 21",9.91,1.36886409962902,103.83395420063,562260,Mayflower MRT,0.41
169247,965888.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,8.0,136.0,71.25,"253, Ang Mo Kio Street 21",9.95,1.3694605445784,103.834659046016,560253,Mayflower MRT,0.31
169248,920000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,5.0,138.0,70.0,"317, Ang Mo Kio Street 31",9.22,1.36562478329901,103.847011474539,560317,Ang Mo Kio MRT,0.55
169249,1080000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,20.0,113.0,93.25,"455A, Ang Mo Kio Street 44",9.38,1.36817376241157,103.857520553516,561455,Ang Mo Kio MRT,0.91
169250,1050000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,8.0,117.0,86.66666666666667,"588D, Ang Mo Kio Street 52",9.8,1.37175400663025,103.8538833087,564588,Ang Mo Kio MRT,0.52
169251,1100000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,29.0,112.0,86.58333333333333,"588B, Ang Mo Kio Street 52",9.83,1.37197571261128,103.853150894936,562588,Ang Mo Kio MRT,0.46
169252,880000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,17.0,110.0,78.0,"596A, Ang Mo Kio Street 52",9.9,1.37243023974423,103.850949173949,561596,Ang Mo Kio MRT,0.32
169253,1020000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,5.0,120.0,86.66666666666667,"588A, Ang Mo Kio Street 52",9.84,1.37207688864036,103.852786139342,561588,Ang Mo Kio MRT,0.43
169254,280000.0,2024,1,2024-01,East,Bedok,2.0,2.0,45.0,61.75,"620, Bedok Reservoir Road",8.47,1.33433431952628,103.917712569623,470620,Bedok North MRT,0.05
169255,558000.0,2024,1,2024-01,East,Bedok,3.0,2.0,62.0,85.41666666666667,"220A, Bedok Ctrl",9.45,1.32569266983592,103.934602365058,461220,Tanah Merah MRT,1.32
169256,372800.0,2024,1,2024-01,East,Bedok,3.0,11.0,67.0,59.833333333333336,"549, Bedok North Avenue 1",9.09,1.33173091993805,103.926915480721,460549,Bedok Reservoir MRT,0.8
169257,380000.0,2024,1,2024-01,East,Bedok,3.0,8.0,67.0,54.083333333333336,"424, Bedok North Avenue 1",8.94,1.32842000962637,103.927482677521,460424,Bedok Reservoir MRT,1.05
169258,372000.0,2024,1,2024-01,East,Bedok,3.0,8.0,68.0,55.5,"550, Bedok North Avenue 1",9.13,1.3326931795279,103.926617402908,460550,Bedok Reservoir MRT,0.76
169259,393000.0,2024,1,2024-01,East,Bedok,3.0,5.0,67.0,54.583333333333336,"521, Bedok North Avenue 1",9.01,1.33025307073546,103.927058345096,460521,Bedok Reservoir MRT,0.91
169260,388000.0,2024,1,2024-01,East,Bedok,3.0,8.0,67.0,54.5,"521, Bedok North Avenue 1",9.01,1.33025307073546,103.927058345096,460521,Bedok Reservoir MRT,0.91
169261,358000.0,2024,1,2024-01,East,Bedok,3.0,5.0,67.0,54.583333333333336,"520, Bedok North Avenue 1",9.12,1.33046462080356,103.928134263896,460520,Bedok Reservoir MRT,0.82
169262,375000.0,2024,1,2024-01,East,Bedok,3.0,5.0,67.0,59.833333333333336,"549, Bedok North Avenue 1",9.09,1.33173091993805,103.926915480721,460549,Bedok Reservoir MRT,0.8
169263,390000.0,2024,1,2024-01,East,Bedok,3.0,8.0,68.0,55.333333333333336,"409, Bedok North Avenue 2",9.43,1.3281029219141,103.932938109001,460409,Bedok Reservoir MRT,0.94
169264,430000.0,2024,1,2024-01,East,Bedok,3.0,14.0,88.0,53.5,"116, Bedok North Road",10.08,1.33100823526591,103.938066838998,460116,Bedok Reservoir MRT,0.9
169265,365000.0,2024,1,2024-01,East,Bedok,3.0,11.0,60.0,61.416666666666664,"77, Bedok North Road",10.33,1.32869611162886,103.941995599533,460077,Tanah Merah MRT,0.51
169266,325000.0,2024,1,2024-01,East,Bedok,3.0,8.0,59.0,53.083333333333336,"75, Bedok North Road",10.3,1.32791477933184,103.942144427101,460075,Tanah Merah MRT,0.47
169267,360000.0,2024,1,2024-01,East,Bedok,3.0,5.0,59.0,53.083333333333336,"74, Bedok North Road",10.29,1.32751177120151,103.942220384041,460074,Tanah Merah MRT,0.46
169268,420000.0,2024,1,2024-01,East,Bedok,3.0,11.0,82.0,53.333333333333336,"125, Bedok North Road",10.06,1.32884321524242,103.939123687022,460125,Tanah Merah MRT,0.82
169269,360000.0,2024,1,2024-01,East,Bedok,3.0,8.0,60.0,61.333333333333336,"77, Bedok North Road",10.33,1.32869611162886,103.941995599533,460077,Tanah Merah MRT,0.51
169270,325888.0,2024,1,2024-01,East,Bedok,3.0,14.0,59.0,53.0,"75, Bedok North Road",10.3,1.32791477933184,103.942144427101,460075,Tanah Merah MRT,0.47
169271,382000.0,2024,1,2024-01,East,Bedok,3.0,5.0,67.0,54.0,"426, Bedok North Road",9.16,1.32980063275837,103.928985674792,460426,Bedok Reservoir MRT,0.84
169272,420000.0,2024,1,2024-01,East,Bedok,3.0,8.0,68.0,54.0,"419, Bedok North Street 1",8.91,1.32696621417456,103.928135771625,460419,Bedok Reservoir MRT,1.16
169273,370000.0,2024,1,2024-01,East,Bedok,3.0,8.0,67.0,53.416666666666664,"134, Bedok North Street 2",9.79,1.32832133313255,103.93658216345,460134,Tanah Merah MRT,1.09
169274,326000.0,2024,1,2024-01,East,Bedok,3.0,2.0,59.0,53.333333333333336,"504, Bedok North Street 3",9.6,1.33188000305479,103.932389359044,460504,Bedok Reservoir MRT,0.52
169275,350000.0,2024,1,2024-01,East,Bedok,3.0,2.0,68.0,55.083333333333336,"532, Bedok North Street 3",9.12,1.33419173917878,103.925386600613,460532,Bedok North MRT,0.83
169276,408000.0,2024,1,2024-01,East,Bedok,3.0,2.0,82.0,55.416666666666664,"545, Bedok North Street 3",8.73,1.3300514240201,103.924118031423,460545,Bedok North MRT,0.86
169277,360000.0,2024,1,2024-01,East,Bedok,3.0,14.0,67.0,54.583333333333336,"525, Bedok North Street 3",9.51,1.33460113941761,103.929445271638,460525,Bedok Reservoir MRT,0.38
169278,412000.0,2024,1,2024-01,East,Bedok,3.0,2.0,82.0,55.083333333333336,"533, Bedok North Street 3",8.98,1.33358016248275,103.92421866691,460533,Bedok North MRT,0.71
169279,360000.0,2024,1,2024-01,East,Bedok,3.0,8.0,60.0,61.083333333333336,"535, Bedok North Street 3",8.85,1.33270278688381,103.923456730636,460535,Bedok North MRT,0.65
169280,365000.0,2024,1,2024-01,East,Bedok,3.0,5.0,59.0,53.333333333333336,"501, Bedok North Street 3",9.47,1.33164071248973,103.931167665142,460501,Bedok Reservoir MRT,0.56
169281,356888.0,2024,1,2024-01,East,Bedok,3.0,2.0,68.0,54.666666666666664,"529, Bedok North Street 3",9.23,1.33426946144275,103.926542284602,460529,Bedok Reservoir MRT,0.68
169282,333000.0,2024,1,2024-01,East,Bedok,3.0,14.0,59.0,53.333333333333336,"502, Bedok North Street 3",9.46,1.331245062192,103.931244293846,460502,Bedok Reservoir MRT,0.6
169283,353000.0,2024,1,2024-01,East,Bedok,3.0,11.0,59.0,53.25,"501, Bedok North Street 3",9.47,1.33164071248973,103.931167665142,460501,Bedok Reservoir MRT,0.56
169284,354288.0,2024,1,2024-01,East,Bedok,3.0,5.0,67.0,54.5,"525, Bedok North Street 3",9.51,1.33460113941761,103.929445271638,460525,Bedok Reservoir MRT,0.38
169285,383888.0,2024,1,2024-01,East,Bedok,3.0,14.0,68.0,55.0,"533, Bedok North Street 3",8.98,1.33358016248275,103.92421866691,460533,Bedok North MRT,0.71
169286,563000.0,2024,1,2024-01,East,Bedok,3.0,11.0,68.0,93.91666666666667,"188A, Bedok North Street 4",10.43,1.33163353101368,103.941371320775,461188,Tanah Merah MRT,0.74
169287,380000.0,2024,1,2024-01,East,Bedok,3.0,5.0,68.0,56.25,"619, Bedok Reservoir Road",8.41,1.33345012881091,103.917708768303,470619,Bedok North MRT,0.15
169288,398000.0,2024,1,2024-01,East,Bedok,3.0,8.0,67.0,60.583333333333336,"103, Bedok Reservoir Road",7.37,1.32877022232019,103.909381354431,470103,Kaki Bukit MRT,0.7
169289,370000.0,2024,1,2024-01,East,Bedok,3.0,2.0,68.0,56.583333333333336,"709, Bedok Reservoir Road",8.94,1.33541606502637,103.922350075379,470709,Bedok North MRT,0.49
169290,393000.0,2024,1,2024-01,East,Bedok,3.0,2.0,68.0,55.916666666666664,"703, Bedok Reservoir Road",8.86,1.33716507441516,103.919893055357,470703,Bedok North MRT,0.34
169291,398000.0,2024,1,2024-01,East,Bedok,3.0,5.0,68.0,56.583333333333336,"709, Bedok Reservoir Road",8.94,1.33541606502637,103.922350075379,470709,Bedok North MRT,0.49
